date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:02	5532/5532	---M--	200	added ('OK')	application/x-javascript	etag:%22159c-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/libs/animated-headlines/animated-headlines.js	C:/cooking/www.spheretheme.com/html/steam/assets/libs/animated-headlines/animated-headlines.js	(from https://www.spheretheme.com/html/steam/index-2.html)
10:13:03	273692/273692	---M--	200	added ('OK')	image/png	etag:%2242d1c-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/about/1.png	C:/cooking/www.spheretheme.com/html/steam/assets/images/about/1.png	(from https://www.spheretheme.com/html/steam/index-onepage.html)
10:13:04	190676/190676	---M--	200	added ('OK')	image/png	etag:%222e8d4-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/about/2.png	C:/cooking/www.spheretheme.com/html/steam/assets/images/about/2.png	(from https://www.spheretheme.com/html/steam/index-onepage.html)
10:13:05	96117/96117	---M--	200	added ('OK')	image/jpeg	etag:%2217775-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/about/3.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/about/3.jpg	(from https://www.spheretheme.com/html/steam/index-onepage.html)
10:13:06	368/368	---M--	200	added ('OK')	application/x-javascript	etag:%22170-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/js/onepage.js	C:/cooking/www.spheretheme.com/html/steam/assets/js/onepage.js	(from https://www.spheretheme.com/html/steam/index-onepage.html)
10:13:06	132806/132806	---M--	200	added ('OK')	image/jpeg	etag:%22206c6-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/about/about-bg.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/about/about-bg.jpg	(from https://www.spheretheme.com/html/steam/about.html)
10:13:07	19179/19179	---M--	200	added ('OK')	image/jpeg	etag:%224aeb-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/chefs/chefs-1.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/chefs/chefs-1.jpg	(from https://www.spheretheme.com/html/steam/about.html)
10:13:07	28420/28420	---M--	200	added ('OK')	image/jpeg	etag:%226f04-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/chefs/chefs-2.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/chefs/chefs-2.jpg	(from https://www.spheretheme.com/html/steam/about.html)
10:13:07	20167/20167	---M--	200	added ('OK')	image/jpeg	etag:%224ec7-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/chefs/chefs-3.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/chefs/chefs-3.jpg	(from https://www.spheretheme.com/html/steam/about.html)
10:13:08	8367/8367	---M--	200	added ('OK')	text/css	etag:%2220af-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/libs/bootstrap-select/bootstrap-select.css	C:/cooking/www.spheretheme.com/html/steam/assets/libs/bootstrap-select/bootstrap-select.css	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:09	22807/22807	---M--	200	added ('OK')	image/jpeg	etag:%225917-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/01.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/01.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:10	16277/16277	---M--	200	added ('OK')	image/jpeg	etag:%223f95-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/02.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/02.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:10	22522/22522	---M--	200	added ('OK')	image/jpeg	etag:%2257fa-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/03.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/03.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:11	18082/18082	---M--	200	added ('OK')	image/jpeg	etag:%2246a2-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/04.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/04.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:11	18657/18657	---M--	200	added ('OK')	image/jpeg	etag:%2248e1-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/05.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/05.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:11	20600/20600	---M--	200	added ('OK')	image/jpeg	etag:%225078-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/06.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/06.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:12	33374/33374	---M--	200	added ('OK')	image/jpeg	etag:%22825e-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/07.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/07.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:12	21214/21214	---M--	200	added ('OK')	image/jpeg	etag:%2252de-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/08.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/08.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:12	16309/16309	---M--	200	added ('OK')	image/jpeg	etag:%223fb5-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/09.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/09.jpg	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:13	92731/92731	---M--	200	added ('OK')	application/x-javascript	etag:%2216a3b-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/libs/bootstrap-select/bootstrap-select.js	C:/cooking/www.spheretheme.com/html/steam/assets/libs/bootstrap-select/bootstrap-select.js	(from https://www.spheretheme.com/html/steam/shop.html)
10:13:13	46791/46791	---M--	200	added ('OK')	image/jpeg	etag:%22b6c7-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/shop/details.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/shop/details.jpg	(from https://www.spheretheme.com/html/steam/shop-details.html)
10:13:14	11243/11243	---M--	200	added ('OK')	image/jpeg	etag:%222beb-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/blog-detail/01.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/blog-detail/01.jpg	(from https://www.spheretheme.com/html/steam/shop-details.html)
10:13:14	8664/8664	---M--	200	added ('OK')	image/jpeg	etag:%2221d8-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/blog-detail/02.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/blog-detail/02.jpg	(from https://www.spheretheme.com/html/steam/shop-details.html)
10:13:15	2213/2213	---M--	200	added ('OK')	image/png	etag:%228a5-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/mastercard.png	C:/cooking/www.spheretheme.com/html/steam/assets/images/mastercard.png	(from https://www.spheretheme.com/html/steam/dashboard.html)
10:13:16	1432/1432	---M--	200	added ('OK')	image/png	etag:%22598-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/visa.png	C:/cooking/www.spheretheme.com/html/steam/assets/images/visa.png	(from https://www.spheretheme.com/html/steam/dashboard.html)
10:13:16	46340/46340	---M--	200	added ('OK')	image/jpeg	etag:%22b504-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/blog/b4.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/blog/b4.jpg	(from https://www.spheretheme.com/html/steam/blog.html)
10:13:16	49837/49837	---M--	200	added ('OK')	image/jpeg	etag:%22c2ad-5810973338bc0%22	https://www.spheretheme.com/html/steam/assets/images/blog/b8.jpg	C:/cooking/www.spheretheme.com/html/steam/assets/images/blog/b8.jpg	(from https://www.spheretheme.com/html/steam/blog.html)
